hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	0.5782 	0.5834 	0.5776 	0.5578 	0.5614 	0.5580 	0.5493 	0.5532 	0.5505 
12	0.5995 	0.6048 	0.6056 	0.5714 	0.5754 	0.5738 	0.5620 	0.5647 	0.5645 
14	0.5820 	0.5849 	0.5796 	0.5635 	0.5651 	0.5603 	0.5535 	0.5559 	0.5499 
16	0.5783 	0.5824 	0.5808 	0.5685 	0.5725 	0.5692 	0.5601 	0.5718 	0.5646 
18	0.5790 	0.5818 	0.5786 	0.5648 	0.5708 	0.5638 	0.5554 	0.5597 	0.5541 
20	0.5934 	0.6029 	0.5942 	0.5761 	0.5801 	0.5758 	0.5641 	0.5692 	0.5651 
22	0.5701 	0.5726 	0.5701 	0.5614 	0.5638 	0.5635 	0.5566 	0.5597 	0.5579 
24	0.5658 	0.5657 	0.5661 	0.5541 	0.5525 	0.5529 	0.5490 	0.5464 	0.5501 
26	0.5825 	0.5850 	0.5763 	0.5673 	0.5671 	0.5594 	0.5550 	0.5571 	0.5493 
28	0.5677 	0.5713 	0.5710 	0.5565 	0.5600 	0.5602 	0.5498 	0.5542 	0.5516 
30	0.5577 	0.5597 	0.5554 	0.5514 	0.5531 	0.5475 	0.5499 	0.5519 	0.5446 
32	0.5699 	0.5737 	0.5704 	0.5616 	0.5642 	0.5625 	0.5611 	0.5600 	0.5541 
34	0.5752 	0.5768 	0.5753 	0.5650 	0.5668 	0.5657 	0.5575 	0.5599 	0.5580 
36	0.5716 	0.5770 	0.5753 	0.5636 	0.5689 	0.5681 	0.5625 	0.5660 	0.5640 
38	0.5776 	0.5786 	0.5771 	0.5686 	0.5883 	0.5671 	0.5617 	0.5605 	0.5584 
40	0.5648 	0.5662 	0.5642 	0.5592 	0.5644 	0.5554 	0.5567 	0.5588 	0.5515 
42	0.5622 	0.5662 	0.5690 	0.5588 	0.5575 	0.5599 	0.5499 	0.5528 	0.5544 
44	0.5666 	0.5680 	0.5656 	0.5624 	0.5601 	0.5607 	0.5675 	0.5614 	0.5583 
46	0.5592 	0.5645 	0.5657 	0.5584 	0.5604 	0.5596 	0.5571 	0.5664 	0.5574 
48	0.5675 	0.5693 	0.5604 	0.5572 	0.5626 	0.5550 	0.5557 	0.5544 	0.5514 
50	0.5596 	0.5630 	0.5632 	0.5576 	0.5596 	0.5579 	0.5563 	0.5580 	0.5560 
