hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	1.1839 	1.1718 	1.1869 	1.1941 	1.1787 	1.1916 	1.2201 	1.2030 	1.1865 
12	1.3090 	1.3075 	1.3297 	1.3195 	1.2997 	1.3144 	1.2599 	1.2789 	1.3357 
14	1.3217 	1.2888 	1.3017 	1.2618 	1.2379 	1.2414 	1.1863 	1.1946 	1.1856 
16	1.3210 	1.2995 	1.3032 	1.3021 	1.2822 	1.2869 	1.2586 	1.3475 	1.2800 
18	1.2205 	1.2248 	1.2128 	1.2041 	1.2354 	1.2096 	1.1790 	1.1975 	1.1735 
20	1.3648 	1.3429 	1.3417 	1.2930 	1.3061 	1.2998 	1.2571 	1.2676 	1.2686 
22	1.2351 	1.2149 	1.2330 	1.2222 	1.2068 	1.2072 	1.2013 	1.1967 	1.1888 
24	1.1966 	1.1540 	1.1814 	1.1898 	1.1381 	1.1599 	1.1760 	1.1355 	1.1601 
26	1.2351 	1.2120 	1.1835 	1.2285 	1.1867 	1.1833 	1.1810 	1.1505 	1.1490 
28	1.2106 	1.2174 	1.2694 	1.1971 	1.2087 	1.2102 	1.1711 	1.1810 	1.1902 
30	1.1941 	1.1607 	1.1807 	1.1757 	1.1522 	1.1599 	1.1734 	1.1533 	1.1330 
32	1.2362 	1.2326 	1.2201 	1.2372 	1.1961 	1.2203 	1.2398 	1.1726 	1.1437 
34	1.2238 	1.1982 	1.2504 	1.2068 	1.1807 	1.2179 	1.1978 	1.1750 	1.1898 
36	1.2467 	1.2890 	1.2994 	1.2324 	1.2432 	1.3028 	1.2399 	1.2297 	1.2687 
38	1.2792 	1.2471 	1.2715 	1.2875 	1.3707 	1.2556 	1.2537 	1.2218 	1.2181 
40	1.2333 	1.2245 	1.2355 	1.2314 	1.2577 	1.1841 	1.2149 	1.2275 	1.1603 
42	1.2189 	1.1966 	1.2553 	1.2221 	1.1592 	1.2321 	1.1568 	1.1556 	1.2117 
44	1.1962 	1.2005 	1.2247 	1.2252 	1.1831 	1.2206 	1.2502 	1.2038 	1.1990 
46	1.1875 	1.2080 	1.2668 	1.2297 	1.2107 	1.2387 	1.2153 	1.2619 	1.2242 
48	1.2852 	1.2408 	1.2183 	1.2178 	1.2336 	1.2011 	1.2620 	1.2177 	1.2069 
50	1.1708 	1.1834 	1.1763 	1.1735 	1.1674 	1.1651 	1.1916 	1.1844 	1.1715 
