hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	33.7914 	34.5384 	35.2615 	34.2888 	34.0193 	34.4304 	31.9138 	33.4032 	32.4734 
12	32.0613 	33.4452 	33.6595 	36.5003 	33.2789 	33.1433 	33.6003 	32.8803 	35.3181 
14	33.0719 	33.0665 	32.5983 	34.0969 	33.8553 	33.6894 	31.8146 	34.1640 	33.8746 
16	33.3640 	33.1945 	32.5581 	33.0053 	33.2863 	32.8106 	33.0437 	31.8020 	33.3349 
18	33.5118 	33.3518 	32.3860 	33.2465 	34.1002 	32.7597 	36.2911 	34.0442 	32.8695 
20	33.2088 	35.1324 	32.7743 	33.4479 	32.6100 	33.0471 	33.1648 	32.7453 	32.5488 
22	34.6671 	34.8946 	34.1517 	35.0361 	34.5812 	32.9447 	34.2581 	33.9151 	33.5980 
24	34.2832 	33.2102 	32.8426 	33.9151 	34.2041 	33.3243 	37.7798 	33.9304 	32.3185 
26	33.4058 	33.3518 	33.9448 	35.9570 	33.6639 	32.5779 	35.8978 	33.5197 	32.5516 
28	31.4075 	33.3238 	33.0613 	31.2105 	33.4174 	32.8752 	31.8846 	32.6586 	32.9503 
30	33.9172 	34.1961 	32.8470 	33.0787 	33.4011 	32.4954 	33.2154 	33.6396 	32.1706 
32	34.0595 	32.7816 	34.0412 	37.0755 	33.5077 	32.3076 	40.6300 	33.2311 	33.4887 
34	32.5773 	32.5686 	32.7893 	32.6538 	33.0324 	33.8260 	34.4466 	33.0492 	31.9589 
36	34.3239 	40.3605 	32.3087 	35.7390 	34.2414 	32.7523 	37.2724 	33.8937 	32.4489 
38	32.2060 	32.1972 	32.2140 	32.3843 	34.4262 	32.5756 	31.2646 	32.5900 	30.5184 
40	31.6860 	31.6402 	32.1310 	32.3513 	32.0868 	32.7416 	31.3059 	32.4624 	33.1684 
42	36.2404 	32.8287 	32.2851 	32.7676 	33.2074 	33.4089 	36.2282 	32.4198 	32.1939 
44	33.5338 	33.0295 	32.1063 	31.6115 	32.4323 	36.5993 	30.4156 	32.9716 	32.8459 
46	33.0634 	31.7941 	32.3165 	29.8707 	32.6077 	32.1109 	31.6666 	32.4007 	32.8733 
48	32.2514 	33.3225 	32.5639 	33.1158 	32.8485 	33.0257 	31.7964 	32.8045 	31.2807 
50	31.0081 	32.0579 	33.0037 	32.8058 	33.4786 	32.2128 	31.5862 	33.2754 	32.7120 
