hidden	btch96, lb96	btch96, lb48	btch96, lb24	btch48, lb96	btch48, lb48	btch48, lb24	btch24, lb96	btch24, lb48	btch24, lb24
10	22.7228 	23.8317 	23.8482 	22.5251 	23.4285 	23.4179 	22.2682 	23.2706 	23.0870 
12	22.7039 	23.7430 	23.5880 	23.0397 	23.3990 	23.2584 	22.4931 	23.2260 	23.1922 
14	23.1510 	24.1063 	24.0328 	22.5627 	23.4643 	23.3990 	21.9806 	23.1509 	22.9636 
16	22.6910 	23.5404 	23.3582 	22.4180 	23.2358 	23.1758 	22.3590 	23.0617 	23.1972 
18	22.6341 	23.4056 	23.2055 	22.4590 	23.3626 	23.1588 	22.6220 	23.3130 	23.0599 
20	22.7025 	23.5980 	23.4358 	22.3980 	23.1755 	23.1221 	22.3571 	23.1249 	22.9992 
22	22.4910 	23.3646 	23.3395 	22.4144 	23.1881 	23.0784 	22.3244 	23.1126 	22.9167 
24	22.5558 	23.3321 	23.0438 	22.3908 	23.1795 	22.9389 	22.7912 	23.1583 	22.8149 
26	22.2124 	23.1010 	23.0817 	22.4944 	23.0397 	22.9087 	22.5787 	22.9533 	22.8609 
28	22.2265 	23.3706 	23.2558 	22.1574 	23.2557 	23.0779 	22.2760 	23.1671 	23.0741 
30	22.5767 	23.4134 	23.1830 	22.3920 	23.2287 	23.0214 	22.3675 	23.2028 	22.9187 
32	22.4150 	23.1366 	23.1571 	22.6760 	23.1210 	23.0021 	23.0732 	23.1420 	23.0430 
34	22.2674 	23.1050 	23.1874 	22.2593 	23.0815 	23.1874 	22.3910 	23.0684 	22.9628 
36	22.6538 	24.1407 	23.1598 	22.7769 	23.1448 	23.2037 	22.8985 	23.2865 	23.1870 
38	22.3692 	23.1223 	23.1183 	22.4316 	23.1374 	23.0614 	22.3839 	23.1479 	22.8447 
40	22.2392 	23.0224 	23.0590 	22.2331 	23.1041 	22.9733 	22.2225 	23.1620 	23.0179 
42	22.7657 	23.2842 	23.1240 	22.3320 	23.1426 	23.2342 	22.7382 	23.1380 	23.0986 
44	22.3995 	23.2399 	23.0382 	22.1339 	22.9997 	23.5750 	21.9931 	23.1062 	23.0258 
46	22.3894 	23.0676 	23.1430 	22.0560 	23.1510 	23.1066 	22.4128 	23.1923 	23.1979 
48	22.4846 	23.4153 	23.1837 	22.4045 	23.2621 	23.1883 	22.3910 	23.2995 	23.0622 
50	22.2627 	23.2529 	23.1472 	22.3669 	23.2634 	22.9774 	22.3302 	23.2039 	23.0159 
