No.	fof2	P	N	hmf2	P	N
1	3.27	273	111	1.31	218	166
2	1.95	127	65	1.53	115	77
3	1.04	49	47	2.84	70	26
4	0.47	61	131	0.75	81	111
5	31	186	6	5.4	161	31
6	3.17	73	23	3.17	72	24
7	0.85	88	104	0.81	85	107
8	1.29	108	84	0.76	83	109
9	0.49	71	121	0.7	79	113
10	0.51	65	127	0.92	92	100
11	3	72	24	0.78	42	54
12	0.7	119	169	1.2	157	131
13	1.59	59	37	1.82	61	35
14	1.67	120	72	0.83	87	105
15	47	94	2	1.46	57	39
16	0.75	41	55	1.4	55	41
17	1.49	115	77	1.37	111	81
18	1.04	49	47	0.78	42	54
19	1.46	171	117	0.95	140	148
20	0.96	47	49	0.57	34	62
21	0.67	154	230	1.49	226	158
22	1.4	112	80	0.73	81	111
23	1.87	125	67	6.68	166	26
24	0.9	91	101	0.92	91	101
25	1.95	127	65	0.92	92	100
26	1.26	107	85	1.53	116	76
27	3.68	151	41	2	128	64
28	0.94	93	99	0.78	84	108
29	1.82	124	68	0.92	92	100
30	3.47	149	43	0.98	95	97
31	6.38	249	39	1.64	179	109
32	2.43	68	28	3.36	73	23
33	1.44	170	118	0.81	129	159
34	0.35	37	59	0.88	45	51
35	1.5	215	73	1.46	171	117
36	1.67	60	36	3.57	75	21
37	1.34	55	41	0.75	41	55
38	2.95	215	73	1.91	189	99
39	0.59	71	121	0.96	94	98
40	2.2	66	30	4.05	44	52
41	2.62	139	53	3.36	147	45
42	0.33	72	216	1.22	158	130
43	0.28	42	150	2.31	134	58
44	1.13	51	45	1.82	61	35
45	2.43	136	56	0.71	80	112
46	0.17	57	327	0.97	189	195
47	0.41	28	68	2.56	68	28
48	0.75	41	55	2.84	70	26
49	0.33	24	72	0.88	45	51
50	0.56	69	123	1.31	109	83
51	0.81	43	53	1.91	62	34
52	2.69	70	26	0.81	43	53
53	0.22	52	236	0.93	138	150
54	1.4	56	40	0.92	46	50
55	2	128	64	0.9	91	101
56	1.09	100	92	0.92	92	100
57	1.09	100	92	1.49	114	78
58	2.2	198	90	0.92	138	150
59	1.59	59	37	1.74	60	36
60	3.27	147	45	2.43	135	57
61	1.67	180	108	1.85	186	102
